A	T_merge	T_heap
[9, 4, 27, 12, 15, 22, 16, 29, 17, 14, 10, 1, 21, 13, 7]	9.999999999177334e-07	9.999999999177334e-07
[7, 4, 15, 25, 24, 2, 29, 18, 13, 20, 6, 27, 9, 14, 19]	0.0	2.0000000000575113e-06
[17, 0, 11, 10, 18, 29, 5, 1, 22, 28, 4, 25, 8, 23, 12]	0.0	9.999999999177334e-07
[23, 29, 2, 7, 18, 11, 25, 20, 9, 22, 19, 15, 21, 8, 16]	0.0	0.0
[18, 1, 7, 26, 28, 17, 16, 15, 2, 9, 21, 12, 27, 3, 14]	1.000000000139778e-06	0.0
[19, 23, 1, 9, 25, 24, 8, 26, 15, 27, 16, 12, 7, 0, 13]	2.0000000000575113e-06	0.0
[5, 26, 18, 23, 4, 11, 28, 12, 19, 3, 20, 6, 27, 8, 29]	2.0000000000575113e-06	0.0
[10, 14, 19, 22, 21, 2, 16, 9, 1, 17, 5, 3, 29, 12, 4]	9.999999999177334e-07	0.0
[11, 23, 20, 28, 19, 2, 4, 29, 24, 7, 25, 14, 6, 10, 18]	0.0	1.000000000139778e-06
[21, 10, 22, 23, 1, 5, 18, 20, 28, 19, 3, 25, 17, 26, 15]	0.0	1.000000000139778e-06
[21, 14, 26, 2, 8, 16, 20, 3, 27, 15, 28, 17, 23, 6, 25]	9.999999999177334e-07	0.0
[5, 4, 14, 17, 8, 3, 0, 16, 2, 20, 27, 11, 7, 21, 28]	2.0000000000575113e-06	0.0
[7, 10, 17, 22, 4, 0, 2, 28, 27, 8, 18, 5, 20, 25, 16]	2.0000000000575113e-06	9.999999999177334e-07
[18, 27, 0, 29, 6, 15, 16, 11, 3, 25, 14, 19, 13, 2, 21]	0.0	0.0
[10, 8, 1, 3, 15, 17, 19, 14, 28, 21, 29, 18, 26, 16, 4]	9.999999999177334e-07	2.0000000000575113e-06
[3, 24, 12, 0, 13, 6, 1, 19, 5, 2, 25, 23, 9, 14, 17]	9.999999999177334e-07	0.0
[8, 2, 10, 29, 6, 15, 9, 5, 24, 19, 27, 12, 20, 17, 26]	0.0	1.000000000139778e-06
[12, 24, 14, 22, 11, 20, 23, 3, 0, 17, 10, 19, 8, 18, 25]	9.999999999177334e-07	9.999999999177334e-07
[29, 18, 5, 21, 4, 15, 8, 13, 28, 1, 11, 16, 14, 24, 0]	1.000000000139778e-06	0.0
[16, 10, 7, 17, 26, 27, 2, 24, 23, 5, 0, 19, 18, 4, 15]	1.000000000139778e-06	0.0
[21, 8, 7, 2, 4, 20, 5, 17, 24, 6, 26, 1, 12, 16, 14]	9.999999999177334e-07	9.999999999177334e-07
[21, 28, 12, 18, 16, 11, 3, 2, 29, 19, 6, 7, 14, 17, 0]	0.0	9.999999999177334e-07
[5, 27, 4, 24, 6, 21, 23, 16, 20, 25, 7, 3, 18, 10, 17]	0.0	9.999999999177334e-07
[20, 12, 9, 22, 28, 11, 27, 24, 13, 1, 18, 26, 17, 8, 3]	1.6999999999933735e-05	1.9999999998354667e-06
[24, 25, 19, 20, 16, 5, 27, 8, 12, 17, 15, 2, 9, 7, 26]	0.0	1.000000000139778e-06
[7, 18, 14, 20, 23, 24, 0, 27, 2, 26, 16, 28, 29, 4, 17]	0.0	1.000000000139778e-06
[10, 25, 2, 29, 28, 20, 6, 14, 17, 3, 0, 23, 5, 21, 22]	9.999999999177334e-07	0.0
[2, 11, 23, 26, 12, 16, 6, 18, 9, 27, 22, 5, 20, 15, 28]	1.000000000139778e-06	0.0
[14, 12, 6, 15, 18, 11, 2, 24, 7, 29, 25, 3, 5, 19, 8]	9.999999999177334e-07	2.0000000000575113e-06
