A	T_merge	T_heap
[2, 7, 23, 0, 24, 13, 28, 29, 18, 8, 27, 3, 15, 19, 12]	8.000000000008e-06	8.000000000008e-06
[29, 4, 28, 3, 25, 13, 5, 8, 6, 0, 16, 18, 21, 9, 20]	1.0999999999983245e-05	8.000000000008e-06
[19, 8, 12, 20, 25, 21, 18, 27, 17, 26, 6, 7, 3, 4, 14]	1.0000000000065512e-05	1.0000000000065512e-05
[9, 7, 19, 13, 21, 23, 0, 27, 22, 26, 12, 4, 8, 1, 20]	1.4999999999876223e-05	8.999999999925734e-06
[29, 21, 22, 10, 19, 18, 20, 8, 1, 24, 27, 11, 2, 17, 28]	1.2000000000123023e-05	1.6000000000016e-05
[3, 12, 10, 17, 11, 29, 2, 14, 25, 27, 5, 21, 20, 1, 16]	1.399999999995849e-05	1.1999999999900979e-05
[17, 7, 10, 19, 6, 1, 16, 18, 5, 27, 14, 22, 13, 20, 25]	1.0999999999983245e-05	1.0999999999983245e-05
[15, 3, 26, 4, 13, 1, 20, 19, 27, 6, 28, 14, 7, 2, 17]	1.0999999999983245e-05	1.4000000000180535e-05
[2, 22, 23, 20, 4, 3, 26, 5, 15, 7, 11, 16, 25, 13, 1]	1.5000000000098268e-05	9.999999999843467e-06
[25, 13, 11, 26, 1, 0, 3, 4, 7, 22, 5, 19, 14, 16, 23]	1.0000000000065512e-05	1.6999999999933735e-05
[1, 29, 19, 0, 10, 26, 18, 14, 20, 11, 2, 6, 21, 15, 4]	1.0999999999983245e-05	1.0999999999983245e-05
[9, 2, 0, 12, 13, 4, 17, 16, 25, 15, 3, 6, 5, 22, 7]	1.0999999999983245e-05	1.0999999999983245e-05
[3, 29, 6, 17, 24, 26, 27, 25, 19, 8, 12, 1, 0, 10, 2]	1.2000000000123023e-05	2.6999999999999247e-05
[7, 9, 13, 15, 28, 1, 6, 5, 18, 20, 27, 0, 22, 23, 12]	5.199999999994098e-05	3.0999999999892225e-05
[6, 17, 3, 29, 18, 19, 22, 24, 16, 13, 21, 5, 28, 23, 15]	2.799999999991698e-05	7.900000000016227e-05
[21, 17, 11, 8, 20, 28, 25, 4, 26, 19, 13, 22, 15, 3, 18]	5.500000000013827e-05	2.999999999997449e-05
[15, 27, 1, 0, 26, 8, 25, 21, 6, 9, 7, 22, 17, 11, 29]	2.999999999997449e-05	2.1000000000048757e-05
[14, 24, 13, 15, 1, 22, 19, 21, 18, 6, 2, 11, 10, 26, 20]	3.500000000000725e-05	2.199999999996649e-05
[22, 17, 8, 20, 3, 19, 21, 26, 12, 0, 27, 25, 1, 7, 5]	1.0999999999983245e-05	1.0000000000065512e-05
[17, 2, 22, 1, 24, 18, 8, 5, 20, 28, 21, 29, 0, 19, 10]	1.0999999999983245e-05	2.4000000000024002e-05
[22, 26, 19, 18, 28, 29, 3, 10, 4, 11, 5, 6, 15, 17, 27]	8.999999999925734e-06	1.2999999999818712e-05
[23, 9, 13, 22, 14, 12, 5, 25, 6, 7, 1, 0, 26, 19, 10]	1.399999999995849e-05	1.8999999999991246e-05
[19, 28, 18, 27, 22, 16, 25, 29, 24, 11, 20, 17, 2, 0, 6]	1.5000000000098268e-05	1.0999999999983245e-05
[15, 8, 29, 11, 13, 2, 16, 20, 28, 27, 7, 0, 10, 6, 23]	2.4000000000024002e-05	1.2000000000123023e-05
[18, 5, 17, 23, 9, 21, 14, 25, 22, 15, 3, 27, 28, 19, 24]	8.000000000008e-06	8.000000000008e-06
[4, 27, 12, 20, 10, 1, 25, 23, 11, 0, 26, 19, 7, 24, 17]	8.000000000008e-06	1.5000000000098268e-05
[23, 15, 9, 19, 13, 18, 3, 27, 8, 28, 16, 1, 5, 6, 7]	1.7999999999851468e-05	1.5000000000098268e-05
[16, 28, 12, 17, 11, 1, 20, 5, 0, 21, 6, 25, 7, 29, 22]	9.999999999843467e-06	1.3000000000040757e-05
[29, 6, 16, 8, 7, 13, 1, 14, 21, 25, 2, 11, 20, 24, 0]	9.999999999843467e-06	8.999999999925734e-06
