	A	len	T_insertion	T_quick	T_merge	T_heap
113	[13, 3, 11, 1, 19, 16, 2, 7, 6, 4]	10	1.9999999993913775e-06	2.000000000279556e-06	2.000000000279556e-06	1.9999999993913775e-06
114	[19, 8, 18, 13, 17, 10, 16, 9, 14, 1]	10	1.000000000139778e-06	9.999999992515995e-07	1.000000000139778e-06	1.000000000139778e-06
115	[2, 9, 1, 6, 18, 7, 5, 8, 3, 15]	10	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06	2.000000000279556e-06
116	[17, 5, 10, 18, 14, 4, 11, 9, 6, 3]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
117	[17, 14, 6, 1, 2, 3, 11, 16, 18, 9]	10	1.000000000139778e-06	9.999999992515995e-07	1.000000000139778e-06	2.000000000279556e-06
118	[8, 14, 4, 11, 19, 7, 17, 15, 1, 13]	10	0.0	0.0	1.000000000139778e-06	0.0
119	[5, 10, 6, 4, 11, 17, 16, 14, 19, 0]	10	0.0	1.000000000139778e-06	2.000000000279556e-06	1.9999999993913775e-06
120	[3, 15, 5, 1, 6, 19, 18, 4, 14, 11]	10	1.000000000139778e-06	0.0	0.0	2.000000000279556e-06
121	[4, 5, 11, 18, 3, 13, 12, 17, 10, 8]	10	1.000000000139778e-06	1.000000000139778e-06	0.0	1.000000000139778e-06
122	[2, 1, 3, 0, 15, 9, 8, 18, 14, 4]	10	1.000000000139778e-06	9.999999992515995e-07	1.000000000139778e-06	1.000000000139778e-06
123	[9, 16, 13, 2, 5, 10, 3, 0, 4, 12]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	0.0
124	[3, 8, 17, 7, 18, 11, 10, 13, 1, 12]	10	0.0	1.000000000139778e-06	1.000000000139778e-06	1.000000000139778e-06
125	[14, 12, 13, 9, 1, 2, 6, 10, 18, 7]	10	0.0	0.0	1.000000000139778e-06	1.000000000139778e-06
126	[5, 15, 1, 2, 3, 0, 11, 17, 16, 14]	10	1.9999999993913775e-06	1.000000000139778e-06	2.000000000279556e-06	1.000000000139778e-06
127	[10, 7, 15, 19, 0, 11, 9, 17, 18, 14]	10	1.000000000139778e-06	0.0	1.000000000139778e-06	0.0
128	[5, 8, 13, 16, 10, 2, 17, 19, 0, 7]	10	9.999999992515995e-07	2.000000000279556e-06	0.0	1.000000000139778e-06
129	[6, 13, 14, 5, 3, 10, 9, 17, 16, 15]	10	1.000000000139778e-06	9.999999992515995e-07	1.000000000139778e-06	1.000000000139778e-06
130	[14, 16, 7, 2, 1, 6, 5, 8, 19, 10]	10	0.0	1.000000000139778e-06	1.9999999993913775e-06	1.000000000139778e-06
131	[13, 6, 16, 15, 1, 10, 17, 18, 14, 4]	10	1.000000000139778e-06	9.999999992515995e-07	0.0	1.000000000139778e-06
132	[16, 5, 2, 19, 6, 14, 8, 3, 10, 1]	10	0.0	0.0	1.000000000139778e-06	1.000000000139778e-06
